,CPI,spread,unrate
2017/1/1,250.467,-0.14,4.7
2017/2/1,250.998,-0.14,4.6
2017/3/1,250.944,-0.05,4.4
2017/4/1,251.227,-0.1,4.4
2017/5/1,251.43,-0.02,4.4
2017/6/1,251.746,-0.06,4.3
2017/7/1,251.985,-0.08,4.3
2017/8/1,252.535,-0.15,4.4
2017/9/1,252.812,-0.12,4.3
2017/10/1,253.526,-0.08,4.2
2017/11/1,253.816,0.07,4.2
2017/12/1,254.344,0.02,4.1
2018/1/1,255.204,0,4
2018/2/1,255.711,0.15,4.1
2018/3/1,256.271,0.19,4
2018/4/1,256.63,0.07,4
2018/5/1,257.145,0.16,3.8
2018/6/1,257.399,0.08,4
2018/7/1,257.699,0.05,3.8
2018/8/1,257.891,0.12,3.8
2018/9/1,258.368,0.18,3.7
2018/10/1,258.917,0.06,3.8
2018/11/1,259.439,0.13,3.8
2018/12/1,260.063,0.1,3.9
2019/1/1,260.766,-0.03,4
2019/2/1,261.186,-0.01,3.8
2019/3/1,261.567,0,3.8
2019/4/1,261.997,-0.04,3.7
2019/5/1,262.217,-0.04,3.6
2019/6/1,262.739,-0.21,3.6
2019/7/1,263.28,-0.3,3.7
2019/8/1,263.877,-0.17,3.6
2019/9/1,264.388,-0.16,3.5
2019/10/1,264.97,-0.18,3.6
2019/11/1,265.548,-0.01,3.6
2019/12/1,266.02,-0.01,3.6
2020/1/1,266.698,-0.03,3.6
2020/2/1,267.402,-0.06,3.5
2020/3/1,267.068,-0.34,4.4
2020/4/1,265.796,0.09,14.8
2020/5/1,265.461,0.08,13.2
2020/6/1,265.839,0.08,11
2020/7/1,267.373,0.04,10.2
2020/8/1,268.39,0.01,8.4
2020/9/1,268.9,0.02,7.8
2020/10/1,269.28,0.01,6.9
2020/11/1,269.967,0,6.7
2020/12/1,270.34,0,6.7
2021/1/1,270.422,-0.01,6.4
2021/2/1,270.813,-0.04,6.2
2021/3/1,271.461,-0.04,6.1
2021/4/1,273.665,-0.05,6.1
2021/5/1,275.494,-0.04,5.8
2021/6/1,277.585,-0.04,5.9
2021/7/1,278.612,-0.05,5.4
2021/8/1,278.993,-0.04,5.1
2021/9/1,279.71,-0.04,4.7
2021/10/1,281.623,-0.03,4.5
2021/11/1,283.393,-0.03,4.2
2021/12/1,285.221,-0.02,3.9
2022/1/1,286.811,0.07,4
2022/2/1,288.287,0.25,3.8
2022/3/1,289.041,0.24,3.7
2022/4/1,290.515,0.43,3.7
2022/5/1,292.072,0.22,3.6
2022/6/1,293.972,0.3,3.6
2022/7/1,295.055,0.58,3.5
2022/8/1,296.569,0.3,3.6
2022/9/1,298.284,0.55,3.5
2022/10/1,299.351,0.64,3.6
2022/11/1,300.292,0.4,3.6
2022/12/1,301.423,0.16,3.5
2023/1/1,302.709,0.21,3.5
2023/2/1,304.124,0.08,3.6
2023/3/1,305.112,0.04,3.5
2023/4/1,306.539,0.09,3.4
2023/5/1,307.646,0.09,3.6
2023/6/1,308.245,0.08,3.6
2023/7/1,308.945,0.13,3.5
2023/8/1,309.656,-0.03,3.7
2023/9/1,310.644,-0.01,3.8
2023/10/1,311.39,0.01,3.9
2023/11/1,312.349,-0.06,3.7
2023/12/1,313.209,-0.09,3.8
2024/1/1,314.438,-0.11,3.7
2024/2/1,315.565,-0.09,3.9
2024/3/1,316.698,-0.09,3.9
2024/4/1,317.622,-0.09,3.9
2024/5/1,318.14,-0.08,4
2024/6/1,318.346,-0.09,4.1
2024/7/1,318.872,-0.13,4.2
2024/8/1,319.768,-0.28,4.2
2024/9/1,320.767,-0.41,4.1
2024/10/1,321.666,-0.32,4.1
2024/11/1,322.657,-0.23,4.2
2024/12/1,323.383,-0.21,4.1
